Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORE_ZN:People Occupant Count [](Hourly),PERIMETER_ZN_1:People Occupant Count [](Hourly),PERIMETER_ZN_2:People Occupant Count [](Hourly),PERIMETER_ZN_3:People Occupant Count [](Hourly),PERIMETER_ZN_4:People Occupant Count [](Hourly),CLGSETP_SCH:Schedule Value [](TimeStep),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 07/21  04:00:00,22.847750000000005,0.0,0.0,0.0,0.0,0.0,30.0 
 07/21  04:10:00,,,,,,,30.0 
 07/21  04:20:00,,,,,,,30.0 
 07/21  04:30:00,,,,,,,30.0 
 07/21  04:40:00,,,,,,,30.0 
 07/21  04:50:00,,,,,,,30.0 
 07/21  05:00:00,22.58916666666667,0.0,0.0,0.0,0.0,0.0,30.0 
 07/21  05:10:00,,,,,,,30.0 
 07/21  05:20:00,,,,,,,30.0 
 07/21  05:30:00,,,,,,,30.0 
 07/21  05:40:00,,,,,,,30.0 
 07/21  05:50:00,,,,,,,30.0 
 07/21  06:00:00,22.62483333333334,0.0,0.0,0.0,0.0,0.0,30.0 
 07/21  06:10:00,,,,,,,24.0 
 07/21  06:20:00,,,,,,,24.0 
 07/21  06:30:00,,,,,,,24.0 
 07/21  06:40:00,,,,,,,24.0 
 07/21  06:50:00,,,,,,,24.0 
 07/21  07:00:00,23.15091666666667,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  07:10:00,,,,,,,24.0 
 07/21  07:20:00,,,,,,,24.0 
 07/21  07:30:00,,,,,,,24.0 
 07/21  07:40:00,,,,,,,24.0 
 07/21  07:50:00,,,,,,,24.0 
 07/21  08:00:00,24.524083333333337,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  08:10:00,,,,,,,24.0 
 07/21  08:20:00,,,,,,,24.0 
 07/21  08:30:00,,,,,,,24.0 
 07/21  08:40:00,,,,,,,24.0 
 07/21  08:50:00,,,,,,,24.0 
 07/21  09:00:00,26.46791666666667,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  09:10:00,,,,,,,24.0 
 07/21  09:20:00,,,,,,,24.0 
 07/21  09:30:00,,,,,,,24.0 
 07/21  09:40:00,,,,,,,24.0 
 07/21  09:50:00,,,,,,,24.0 
 07/21  10:00:00,28.37608333333334,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  10:10:00,,,,,,,24.0 
 07/21  10:20:00,,,,,,,24.0 
 07/21  10:30:00,,,,,,,24.0 
 07/21  10:40:00,,,,,,,24.0 
 07/21  10:50:00,,,,,,,24.0 
 07/21  11:00:00,30.07025,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  11:10:00,,,,,,,24.0 
 07/21  11:20:00,,,,,,,24.0 
 07/21  11:30:00,,,,,,,24.0 
 07/21  11:40:00,,,,,,,24.0 
 07/21  11:50:00,,,,,,,24.0 
 07/21  12:00:00,31.363166666666668,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  12:10:00,,,,,,,24.0 
 07/21  12:20:00,,,,,,,24.0 
 07/21  12:30:00,,,,,,,24.0 
 07/21  12:40:00,,,,,,,24.0 
 07/21  12:50:00,,,,,,,24.0 
 07/21  13:00:00,32.30833333333334,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  13:10:00,,,,,,,24.0 
 07/21  13:20:00,,,,,,,24.0 
 07/21  13:30:00,,,,,,,24.0 
 07/21  13:40:00,,,,,,,24.0 
 07/21  13:50:00,,,,,,,24.0 
 07/21  14:00:00,32.97708333333333,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  14:10:00,,,,,,,24.0 
 07/21  14:20:00,,,,,,,24.0 
 07/21  14:30:00,,,,,,,24.0 
 07/21  14:40:00,,,,,,,24.0 
 07/21  14:50:00,,,,,,,24.0 
 07/21  15:00:00,33.199999999999996,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  15:10:00,,,,,,,24.0 
 07/21  15:20:00,,,,,,,24.0 
 07/21  15:30:00,,,,,,,24.0 
 07/21  15:40:00,,,,,,,24.0 
 07/21  15:50:00,,,,,,,24.0 
 07/21  16:00:00,32.825500000000005,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  16:10:00,,,,,,,24.0 
 07/21  16:20:00,,,,,,,24.0 
 07/21  16:30:00,,,,,,,24.0 
 07/21  16:40:00,,,,,,,24.0 
 07/21  16:50:00,,,,,,,24.0 
 07/21  17:00:00,32.058666666666674,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  17:10:00,,,,,,,24.0 
 07/21  17:20:00,,,,,,,24.0 
 07/21  17:30:00,,,,,,,24.0 
 07/21  17:40:00,,,,,,,24.0 
 07/21  17:50:00,,,,,,,24.0 
 07/21  18:00:00,31.077833333333334,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  18:10:00,,,,,,,24.0 
 07/21  18:20:00,,,,,,,24.0 
 07/21  18:30:00,,,,,,,24.0 
 07/21  18:40:00,,,,,,,24.0 
 07/21  18:50:00,,,,,,,24.0 
 07/21  19:00:00,29.695750000000004,8.0516,6.1036,3.6207,6.1036,3.6207,24.0 
 07/21  19:10:00,,,,,,,24.0 
 07/21  19:20:00,,,,,,,24.0 
 07/21  19:30:00,,,,,,,24.0 
 07/21  19:40:00,,,,,,,24.0 
